--	pristine	30 min	60 min
294.64	547.840304912479	489	454
294.93	553.668654997177	779	867
295.22	558.460208148831	603.5	636
295.5	562.21496436744	720.25	806.75
295.79	564.932923653006	482.5	415.75
296.08	566.614086005528	620.5	669
296.37	567.258451425005	729.5	763
296.66	566.866019911439	582.75	586.5
296.95	565.436791464828	492	486.25
297.24	562.970766085173	562.75	520.75
297.53	559.467943772475	583.01	595.87
297.82	543.471399150049	586.34	602.16
298.11	536.294154952599	574.28	587.35
298.4	530.81975809088	577.34	590.78
298.69	529.771062438706	574.91	586.97
298.98	530.404390323635	569.54	583.44
299.27	526.216946714613	569.8	581.49
299.56	522.577839163125	572.44	585.99
299.85	521.445243543642	572.69	588.66
300.13	518.296266753841	575.79	590.77
300.42	515.75352402746	581.31	601.12
300.71	518.063602484472	578.18	595.38
301	523.084380516509	585.63	604.34
301.29	527.812945406996	582.43	601.55
301.58	536.995505067016	587.32	607.99
301.87	551.733193854201	573.09	589.42
302.16	563.659771167048	584.37	603.77
302.45	572.610660346519	591.6	615.85
302.74	579.729228506048	597.17	626.19
303.03	583.041961425303	603.22	637.23
303.32	580.155158548546	610.48	645.56
303.6	578.402020268062	630.08	669.9
303.89	583.587368421053	617.63	651.98
304.18	588.714462242563	624.75	661.16
304.47	594.115920235371	612.85	645.9
304.76	596.395053939196	616.1	648.67
305.05	590.382533507682	618.3	651.68
305.34	584.898407976463	622.38	658.97
305.63	582.905158548546	605.17	635.81
305.92	577.368826413861	616.15	645.24
306.21	573.291739130435	613.89	646.22
306.49	573.952474664923	605.54	634.69
306.78	573.341484145146	606.56	632.58
307.07	571.08152010461	606.69	631.68
307.36	565.92171624714	602.75	625.54
307.65	552.989101013403	601	623.86
307.94	544.096093494606	613.52	641.29
308.23	546.69317750899	589.13	608.34
308.52	545.035037593985	600.77	624.7
308.8	540.578640078457	597.12	617.96
309.09	542.700562275254	598.52	615.94
309.38	550.91876430206	587.82	603.11
309.67	557.553187316117	583.79	599.88
309.96	556.110836874796	597.65	621.06
310.25	557.116606734227	608.36	632.98
310.54	567.226838836221	607.71	630.94
310.82	577.320058842759	601.75	623.66
311.11	582.143229813665	601.56	623.66
311.4	583.942657731285	594.03	612.71
311.69	582.27206276561	597.84	619.58
311.98	581.272268715267	595.23	619.55
312.27	582.552494279176	597.18	622.1
312.56	582.548711997385	598.19	622.5
312.84	583.289179470415	592.97	617.94
313.13	581.355465838509	587.81	610.92
313.42	575.750951291272	594.11	623.4
313.71	571.788953906506	581.55	603.97
314	565.671258581236	582.51	603.42
314.29	556.073739784243	582.45	606.38
314.57	547.083184047074	582.73	603.76
314.86	541.534557044786	590.2	613.11
315.15	539.829087937235	586.7	609.88
315.44	538.760333442302	581.19	604.5
315.73	541.538054919909	577.83	595.48
316.02	549.296005230468	562.92	574.81
316.3	552.309679633868	557.92	572.14
316.59	550.829643674404	568.5	588.13
316.88	553.934383785551	568.46	586.22
317.17	555.964190912063	567.65	581.66
317.46	551.38124877411	574.76	591.15
317.75	551.043262504087	574.64	590.62
318.03	559.902517162471	565.48	578.04
318.32	563.495675057208	559.73	569.61
318.61	558.97643020595	576.87	589.38
318.9	561.721304347826	578.75	593.46
319.19	561.770506701537	571.3	583.34
319.47	549.690693036941	601.56	623.39
319.76	545.020379208892	609.96	634.86
320.05	551.8852402746	607.31	630.81
320.34	561.397116704806	609.32	630.86
320.63	575.109692710036	607.96	628.28
320.91	587.766740764956	595.46	614.18
321.2	595.233886891141	601.7	622.52
321.49	605.587777051324	598.75	618.3
321.78	607.628378555083	590.98	610.36
322.07	598.438561621445	613.56	638.66
322.35	599.633877084015	612.18	633.47
322.64	608.95742399477	606.28	623.63
322.93	614.651516835567	611.48	627.52
323.22	616.878234717228	608	629.08
323.51	618.050513239621	605.96	627.09
323.79	616.592961752207	603.71	626.63
324.08	608.614521085322	607.41	628.73
324.37	599.464897025172	607.99	628.88
324.66	593.537404380517	593.19	611.7
324.94	582.621938542007	597.12	615.85
325.23	571.880098071266	597.56	617.78
325.52	571.933769205623	580.15	589.47
325.81	574.05302713305	574.41	584.78
326.09	571.788231448186	566.96	573.15
326.38	566.106015037594	564.88	572.45
326.67	556.619136972867	557.99	564.13
326.96	549.948970251716	563.21	569.33
327.24	542.816547891468	552.31	555.34
327.53	519.482432167375	570.95	581.73
327.82	499.968009153318	587.45	606.19
328.11	506.34784570121	571.38	586.58
328.39	521.005380843413	566.38	580.96
328.68	531.404870872835	569.32	586.41
328.97	539.992765609677	580.41	606.59
329.26	550.819741745669	581.49	604.88
329.54	564.660706113109	581.06	605.61
329.83	577.507087283426	574.76	588.4
330.12	585.273079437725	570.57	584.48
330.41	586.746086956522	569.15	583.35
330.69	585.901088591043	568.19	582.37
330.98	582.799208891795	561.95	575.53
331.27	577.888401438379	566.25	582.29
331.56	570.994870872835	553.4	568.67
331.84	557.779257927428	566.09	584.66
332.13	545.349911735862	571.19	594.95
332.42	537.265612945407	571.41	592.53
332.7	527.672834259562	572.01	595.78
332.99	512.72017979732	575.9	601.4
333.28	500.265815626022	591.88	621.63
333.57	506.138829682903	579.79	601.81
333.85	521.513076168683	566.8	586.5
334.14	527.598816606735	564.78	579.62
334.43	530.762925792743	577.84	598.08
334.71	544.13811703171	571.1	587.18
335	564.736783262504	572.42	588.37
335.29	581.991922196797	566.02	579.97
335.58	591.096989212161	578.13	594.71
335.86	599.106639424649	584.13	609.5
336.15	609.112817914351	581.96	607.76
336.44	614.513079437725	581.54	606.15
336.72	609.973242889834	579.66	601.71
337.01	596.313507682249	593.36	621.67
337.3	581.901026479242	599.5	629.6
337.58	575.770081726055	607.39	642.41
337.87	579.048600849951	599.72	632.84
338.16	580.220326904217	601.01	636.67
338.44	576.522252370056	610.86	649.83
338.73	576.538796992482	607.67	645.93
339.02	579.73627983001	597.54	635.11
339.31	581.483690748611	594.94	634.42
339.59	577.553550179797	595.64	635.3
339.88	573.203971886237	607.77	648.3
340.17	577.209202353711	599.89	639.76
340.45	581.401719516182	595.78	633.55
340.74	579.286793069631	600.17	641.87
341.03	577.033141549526	608.24	653.62
341.31	582.31731938542	615.93	660.93
341.6	592.345956194835	605.74	646.93
341.89	596.291843739784	619.1	666.02
342.17	593.963121935273	634.47	683.67
342.46	592.78799607715	646.79	699.59
342.75	599.001252043151	641.03	693.34
343.03	612.791042824453	629.29	674.25
343.32	626.306793069631	615.67	654.09
343.6	632.200637463223	620.38	656.58
343.89	628.840787839163	618.71	655.74
344.18	622.396479241582	623.61	664.82
344.46	620.561624713959	622.95	664.49
344.75	619.204589735208	624.68	664.75
345.04	615.822134684537	631.58	671.68
345.32	612.460614579928	623.08	657.55
345.61	607.100117685518	622.02	656.65
345.9	597.797172278523	613.96	650.04
346.18	582.325102974829	621.55	660.77
346.47	567.600022883295	619.53	658.96
346.75	562.447057862047	612.31	652.81
347.04	562.149029094476	605.2	645.23
347.33	558.027571101667	611.82	656.86
347.61	554.392899640406	610.62	656.24
347.9	562.43087283426	612.66	656.83
348.19	580.043409610984	597.24	640.02
348.47	591.729960771494	590.84	634.8
348.76	593.020042497548	606.19	652.25
349.04	590.176109839817	610.78	659.86
349.33	585.207450147107	620.2	677.7
349.62	580.761811049363	613.41	671.79
349.9	577.303811703171	616.94	676.07
350.19	579.302703497875	627.88	685.84
350.47	589.451467799935	630.25	691.53
350.76	601.720137299771	631.24	695.21
351.05	607.53314808761	625.73	688.99
351.33	606.412729650213	641.2	715.34
351.62	606.117983000981	637.71	715.4
351.9	604.284733573063	646.45	729.19
352.19	597.876547891468	651.4	740.68
352.48	590.589826740765	657.69	755.18
352.76	583.832641386074	666.18	769.44
353.05	575.599843085976	671.91	785.6
353.33	570.549970578621	695.01	824.03
353.62	574.667773782282	705.88	851.07
353.91	579.034609349461	724.53	895.7
354.19	574.06203334423	767.11	972
354.48	575.212540045767	829.11	1072.6
354.76	594.435711016672	857.08	1140.8
355.05	624.953625367767	909.41	1260.6
355.33	666.856659038902	958.42	1363.6
355.62	716.298123569794	1030.1	1507.3
355.91	774.937044785878	1116.4	1672.3
356.19	853.218061457993	1206.3	1850.2
356.48	947.125436417131	1311.2	2045.9
356.76	1046.28460608042	1452	2295.9
357.05	1154.19515854855	1602.2	2576.3
357.33	1276.01453089245	1763.4	2872.4
357.62	1408.91964040536	1967.3	3240
357.9	1565.06357960118	2191.7	3643
358.19	1753.97918273946	2444.3	4086.8
358.48	1973.5402942138	2720.3	4581.2
358.76	2230.91533834587	3022.8	5110.5
359.05	2525.02688787186	3341.9	5656
359.33	2845.58236678653	3687.7	6270.7
359.62	3194.7751552795	4067.6	6913.6
359.9	3580.98522392939	4494.2	7611.3
360.19	4011.58672768879	4932.2	8276.1
360.47	4480.28273945734	5388.2	8935.3
360.76	4981.66842105264	5913.6	9592.5
361.04	5523.90709382151	6462.5	10228
361.33	6095.57554756457	7025.3	10854
361.61	6683.79470415169	7635.8	11462
361.9	7301.26570774764	8275.8	12029
362.18	7965.81284733573	8930.6	12579
362.47	8681.92987904545	9565.7	13114
362.76	9447.43743053286	10189	13615
363.04	10250.5793396535	10788	14078
363.33	11069.1036940177	11376	14512
363.61	11886.6102647924	11923	14888
363.9	12681.3429879046	12447	15213
364.18	13431.8151683557	12942	15508
364.47	14124.3343576332	13409	15730
364.75	14737.0417129781	13854	15941
365.04	15262.1549525989	14268	16094
365.32	15703.8695652174	14656	16197
365.61	16056.5697940503	15009	16252
365.89	16319.2196796339	15309	16254
366.18	16496.3484798954	15583	16254
366.46	16599.3484798954	15824	16254
366.75	16639.0418437398	16007	16254
367.03	16617.0202680615	16166	16254
367.32	16551.7829355999	16295	16254
367.6	16480.9862700229	16372	16254
367.89	16432.5155279503	16384	16254
368.17	16409.9254658385	16384	16254
368.46	16404	16384	16254
368.74	16404	16384	16254
369.02	16404	16384	16254
369.31	16404	16384	16254
369.59	16404	16384	16254
369.88	16404	16384	16254
370.16	16404	16384	16254
370.45	16404	16384	16254
370.73	16404	16384	16254
371.02	16404	16384	16254
371.3	16404	16384	16254
371.59	16404	16384	16254
371.87	16420.3229813665	16384	16254
372.16	16471.4596273292	16358	16254
372.44	16538.6253677673	16295	16254
372.72	16594.5272965021	16200	16254
373.01	16620.5982347172	16056	16254
373.29	16592.4481856816	15882	16254
373.58	16495.9820202681	15686	16254
373.86	16327.8525661981	15465	16254
374.15	16086.60542661	15211	16254
374.43	15770.9329846355	14940	16253
374.72	15379.5843085976	14637	16198
375	14914.3339653482	14313	16115
375.28	14385.2967636483	13981	16031
375.57	13810.2351748938	13619	15889
375.85	13207.5588754495	13253	15744
376.14	12590.9555410265	12850	15561
376.42	11967.7142203334	12432	15355
376.71	11353.7038901602	11991	15119
376.99	10774.5590062112	11544	14852
377.27	10248.2788492972	11077	14569
377.56	9784.21631252044	10597	14234
377.84	9380.02706766917	10110	13900
378.13	9009.76024844721	9614.5	13511
378.41	8652.50604772802	9149.4	13119
378.69	8303.1888525662	8692	12691
378.98	7954.89630598235	8273.7	12234
379.26	7609.12226217718	7875.2	11762
379.55	7264.35593331154	7478.6	11267
379.83	6912.69418110494	7094.6	10761
380.11	6556.03814972214	6733.5	10229
380.4	6197.0179143511	6375.6	9676.7
380.68	5835.66815952926	6042.4	9165.9
380.97	5479.58283752861	5715	8657
381.25	5133.19888852566	5396.5	8145.4
381.53	4799.11072245832	5104.3	7702.3
381.82	4480.73213468454	4803	7212.6
382.1	4175.40281137627	4533.5	6779.5
382.39	3888.24991827395	4270.6	6346.3
382.67	3622.50071918928	4031.1	5953.9
382.95	3373.37159202354	3790.2	5571.4
383.24	3138.55746976136	3564	5208.6
383.52	2927.82736188297	3352.3	4882.3
383.8	2744.35109512913	3142.4	4552.4
384.09	2580.93337692056	2971.9	4282.7
384.37	2439.37450147107	2793.2	3990.7
384.66	2311.41804511278	2636.7	3742.9
384.94	2192.01990846682	2491.6	3521.4
385.22	2086.18986596927	2352.5	3311.4
385.51	1991.57718208565	2224.2	3110.2
385.79	1908.62523700556	2114.7	2928.8
386.07	1835.38185681595	2010.4	2757.1
386.36	1764.43609022557	1912.6	2612.4
386.64	1692.93422687153	1826.3	2469.5
386.92	1621.51379535796	1744.3	2355.4
387.21	1555.59725400458	1666.9	2235.4
387.49	1495.53733246159	1592.6	2119.1
387.77	1436.50490356326	1535.2	2042
388.06	1377.26721150703	1472.2	1947.3
388.34	1319.99297155933	1428.3	1875
