Experiment	bias spectroscopy	
Date	04.08.2020 21:28:24	
User		
X (m)	5.54261E-9	
Y (m)	-5.07575E-9	
Z (m)	-10.6271E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	5E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-10.6268E-9	
Filter type	None	
Order		
Cutoff frq		
Comment01	dz=0pm	
Comment02	setpoint: 750pA, 5mV gain9	
Comment03	3avg  1/10 divider	
Comment04	LockIn: 15uVrms, 10mV, 5ms	
Comment05	B=0, T=1.1K,  f=911.031Hz, phase=48.84degree	
Comment06		
Comment07	length 6925nm, p.d. 80.52pm	
Bias>Bias (V)	5E-3	
Bias>Calibration (V/V)	81.475E-3	
Bias>Offset (V)	1.158E-3	
Bias Spectroscopy>Sweep Start (V)	5E-3	
Bias Spectroscopy>Sweep End (V)	-5E-3	
Bias Spectroscopy>Num Pixel	1201	
Bias Spectroscopy>Z Avg time (s)	500E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	20E-3	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	5E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	5E+0	
Bias Spectroscopy>backward sweep	FALSE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	3	
Bias Spectroscopy>Channels	Current (A);X% LockIn (V);Y% LockIn (V);Microscope Temp (K);Z (m)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	TRUE	
Bias Spectroscopy>Lock-In run	FALSE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	500E-3,50E-3,100E-6,10E-3,340;50E-3,-50E-3,100E-6,100E-3,1650;-50E-3,500E-3,100E-6,10E-3,340	
Current>Current (A)	750.216E-12	
Current>Calibration (A/V)	999.99900E-12	
Current>Offset (A)	-520.884E-15	
Current>Gain	LN 10^9	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	712E+0	
Lock-in>Amplitude	20E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>Harmonic	2	
Lock-in>Reference phase (deg)	-61.5494E+0	
NanonisMain>Session Path	E:\DATA\2H-NbSe2\200522_Fe_on_NbSe2_Nb_tip\200714_NbSe2_crystalF_Evap_Fe_flux1nA_3s_NbTi-tip+Nb_covered	
NanonisMain>SW Version	Generic 4	
NanonisMain>UI Release	8987	
NanonisMain>RT Release	8987	
NanonisMain>RT Frequency (Hz)	10E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Piezo Calibration>Active Calib.	1.1K_JT_160301_preliminary	
Piezo Calibration>Calib. X (m/V)	12.1192E-9	
Piezo Calibration>Calib. Y (m/V)	12.119E-9	
Piezo Calibration>Calib. Z (m/V)	1.922E-9	
Piezo Calibration>HV Gain X	4	
Piezo Calibration>HV Gain Y	4	
Piezo Calibration>HV Gain Z	4	
Piezo Calibration>Tilt X (deg)	-1.62682	
Piezo Calibration>Tilt Y (deg)	3.75078	
Piezo Calibration>Curvature radius X (m)	Inf	
Piezo Calibration>Curvature radius Y (m)	Inf	
Piezo Calibration>2nd order corr X (V/m^2)	0E+0	
Piezo Calibration>2nd order corr Y (V/m^2)	0E+0	
Piezo Calibration>Drift X (m/s)	0E+0	
Piezo Calibration>Drift Y (m/s)	0E+0	
Piezo Calibration>Drift Z (m/s)	0E+0	
Piezo Calibration>Drift correction status (on/off)	FALSE	
Scan>Scanfield	5.25135E-9;-5.43033E-9;7E-9;7E-9;0E+0	
Scan>series name	image_	
Scan>channels	Current (A);X% LockIn (V);Y% LockIn (V);Z (m)	
Scan>pixels/line	176	
Scan>lines	176	
Scan>speed forw. (m/s)	44.1919E-9	
Scan>speed backw. (m/s)	44.1919E-9	
Z-Controller>Z (m)	-10.6273E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	750E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	1.3E-12	
Z-Controller>I gain	21.6667E-9	
Z-Controller>Time const (s)	60E-6	
Z-Controller>TipLift (m)	1E-9	
Z-Controller>Switch off delay (s)	50E-3	
Current (A)	750.362E-12	
X% LockIn (V)	427.783E-3	
Y% LockIn (V)	30.4961E-3	
Z (m)	-10.6273E-9	

[DATA]
Bias calc (V)	Current (A)	X% LockIn (V)	Y% LockIn (V)	Microscope Temp (K)	Z (m)
5.00000E-3	756.649E-12	391.450E-3	-7.38546E-3	1.09059E+0	-10.6281E-9
4.99167E-3	758.117E-12	376.370E-3	-1.82088E-3	1.09058E+0	-10.6281E-9
4.98333E-3	757.731E-12	341.815E-3	25.8668E-3	1.09058E+0	-10.6281E-9
4.97500E-3	754.972E-12	322.844E-3	58.7126E-3	1.09059E+0	-10.6281E-9
4.96667E-3	755.908E-12	333.169E-3	37.8854E-3	1.09059E+0	-10.6281E-9
4.95833E-3	756.327E-12	335.380E-3	-13.2213E-3	1.09059E+0	-10.6281E-9
4.95000E-3	753.848E-12	367.567E-3	-5.58624E-3	1.09059E+0	-10.6281E-9
4.94167E-3	753.802E-12	370.567E-3	-19.0413E-3	1.09059E+0	-10.6281E-9
4.93333E-3	749.823E-12	348.349E-3	-11.5245E-3	1.09059E+0	-10.6281E-9
4.92500E-3	744.766E-12	361.285E-3	49.0308E-3	1.09058E+0	-10.6281E-9
4.91667E-3	739.905E-12	420.096E-3	47.1422E-3	1.09058E+0	-10.6281E-9
4.90833E-3	739.457E-12	436.089E-3	-73.2698E-3	1.09059E+0	-10.6281E-9
4.90000E-3	737.535E-12	363.968E-3	-88.6330E-3	1.09058E+0	-10.6281E-9
4.89167E-3	734.459E-12	335.666E-3	-5.77098E-3	1.09059E+0	-10.6281E-9
4.88333E-3	729.177E-12	361.308E-3	18.9718E-3	1.09057E+0	-10.6281E-9
4.87500E-3	728.165E-12	399.553E-3	-16.9921E-3	1.09059E+0	-10.6281E-9
4.86667E-3	729.356E-12	374.692E-3	-22.5823E-3	1.09058E+0	-10.6281E-9
